,Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
1/3/2000,159.7222687,348.8199892,377.2154726,266.0871072,125.6672085,163.0183574,195.9951036,212.5254887,176.6106626,188.8113387,236.7819983,276.6301784,456.3676839,129.0493209,227.3791578,491.1271053,339.7326466,373.7833062,276.337342,311.9787981
1/4/2000,159.8186749,349.5648816,378.198833,267.036976,125.425036,162.9280137,196.5651401,211.9517244,176.7335672,189.6204138,237.2372827,276.3064923,455.4991419,129.4676897,227.0501718,490.80693,340.4568819,374.5253847,276.7884403,311.3013649
1/5/2000,159.0385743,348.7757766,377.4073883,266.2317364,125.839686,162.5084493,196.6405646,211.6768226,177.6651388,189.3847855,237.8851889,276.6929004,456.4663183,129.0050414,227.9349902,490.8734801,339.9123925,375.1864139,276.9605621,311.7622919
1/6/2000,158.0543348,348.1061651,378.0189351,267.0520876,126.6773234,162.3622283,196.5230578,211.0733497,177.117106,188.8734844,237.6029755,276.5716278,456.9073141,129.3937685,227.5266058,491.8425129,340.3018484,376.0480952,276.9305221,310.818854
1/7/2000,158.5511964,348.9477243,377.1856648,268.008378,127.6545354,161.5429589,197.0372899,210.1275859,177.3900783,188.6783083,237.5677353,275.7526569,456.3992226,128.4277376,227.9322583,491.026703,339.4794206,375.6035965,277.523582,310.8726259
1/10/2000,158.2967863,348.8232042,376.6163446,267.8647127,126.8638718,161.7560549,197.0241534,210.8555889,178.1821797,188.5960281,237.7299232,275.2671392,456.6357417,127.9827699,227.0181819,490.5514002,339.7303033,375.7708354,278.2079981,311.4772834
1/11/2000,158.7059807,349.6515657,376.8608852,268.081572,126.8602113,162.2392938,197.6638506,210.5673499,179.1047168,188.8636402,237.0538766,276.0619577,456.2005565,128.8845437,227.3306978,489.9752121,340.7083689,376.6683616,277.7919143,310.574528
1/12/2000,158.3122459,349.7921553,377.77439,267.6672965,127.2939952,162.4777858,198.521486,210.7676024,180.0254416,189.6209589,237.8558076,276.5118282,456.8371339,129.1689192,226.6299105,489.7667708,339.8970407,377.1749705,278.3146702,309.8303478
1/13/2000,157.5088643,350.3142534,377.9111742,266.9506094,128.2926188,162.2917237,198.2702939,210.2189667,179.9051809,190.0699772,238.5899251,276.9211622,457.1546304,129.5964213,226.5687573,489.8388824,340.0302,377.5988379,277.7816475,310.5413169
1/14/2000,158.251975,350.7352051,378.5615618,267.9213865,127.9556532,162.459672,197.8473242,211.0536936,179.7396394,189.8896682,237.6690241,276.758663,456.2414778,129.2102351,227.2507828,489.8728974,339.5179065,377.312404,277.5476069,311.5094829
1/17/2000,157.4810969,350.4573981,379.1085774,267.8791326,127.3720398,161.6680821,198.6653045,211.536704,180.5781855,190.5804437,236.7870058,276.1435069,455.9775892,129.2210109,227.3572194,489.7783832,338.636699,377.2668599,277.9214828,311.9265042
1/18/2000,157.4037059,351.3009361,379.7550663,268.0044804,127.199749,160.6801511,199.4145147,210.5598812,179.9149561,191.1624828,236.7331012,275.3732921,455.5327973,128.8717746,227.0516564,490.7604534,338.4954777,377.3032033,278.2824956,311.504514
1/19/2000,157.1620673,352.0121295,380.0892068,268.0952377,126.6179222,159.7195206,198.525305,209.9367366,180.8890171,191.6459814,235.9375869,276.1942284,455.8386997,128.2118544,227.713059,490.8262739,338.8714714,376.394398,278.0847505,310.9484708
1/20/2000,157.0110105,352.6086061,381.0758909,268.5542943,126.8219036,158.7261679,199.3747656,209.1766993,180.8160498,190.721175,236.0028902,276.8914137,454.9038931,127.7580008,228.1834063,491.8162708,338.5285507,376.5165731,277.2312151,311.0295477
1/21/2000,156.6203717,351.9245315,380.5203808,268.1761743,126.3561328,159.131179,198.4978098,209.3507224,181.2548286,189.9822272,235.3280334,277.1231171,455.0499794,127.9599959,228.8334778,491.8677152,339.2218123,376.6301347,276.9328126,310.0544675
1/24/2000,157.5573362,351.5605876,379.5973031,267.4201438,125.7399539,158.6891403,198.6385323,208.9583575,181.0083489,189.1108724,234.4851874,276.4527063,454.5398789,128.6217439,229.3057434,492.6753085,339.6896768,377.4282836,276.3915879,309.1407128
1/25/2000,157.1274584,352.4640183,380.0889256,267.6540004,126.3073405,159.6715745,198.1621483,208.994949,181.6087431,188.5928044,233.9936794,275.7481956,455.1893208,128.4842981,229.3406279,492.7835715,338.9492288,377.8210274,276.2224579,309.4117169
1/26/2000,157.9982804,352.0325912,379.730398,267.6576408,125.8349809,159.8750222,198.374862,209.7279482,180.9590187,187.885268,233.071541,276.6867178,454.3527269,128.3094164,230.0986521,492.5994026,339.4459699,377.3072222,275.4414166,310.371203
1/27/2000,158.0387108,352.6574751,379.3417883,267.1472803,125.5310867,159.0294699,198.61956,210.3727297,181.9076109,187.0655832,232.6120468,277.1983412,454.8875812,128.8860856,229.7929696,492.1603908,338.9413316,377.3715341,275.853604,309.4035797
